Name,Description,Date,IntensityId,Length,CoachId,GenreIdList,SongIdList,SpotifyLink,WorkoutId,MaxTargets,LocationIdList,WorkoutType,MaxScore,MaxDodges,MaxKneeStrikes,MaxTriangles
"Stretching ""Lower Body""","Ready to stretch out those legs? Join Coach Leanne and work through mobility movements and stretches for your feet, ankles, knees and hips. Use this before a workout, as an extended cooldown, or on its own!",11/8/2020,5,6:56,25,,,,613,,,stretch,,,,
"Meditation ""Reflection""","Join Coach Doc for this 6-minute guided meditation. Become the watcher of your thoughts, reflect on your past few days, and take a non-judgmental inventory. Through this self-discovery, you can commit to your excellence.",11/15/2020,4,6:11,28,,,,615,,,meditation,,,,
"Just Dance ""Ready for the Night""","Ready for a night out? These club tracks will have you moving and grooving all night long. Bring the fire, and don’t forget to shake that booty!",11/5/2020,2,24:51:00,27,22,"1244, 292, 531, 470, 406, 637",https://open.spotify.com/playlist/6vYYURhBY16yutfCM4dlxz?si=C3Znqso7TkC_GpxJI6lANQ,616,2583,"64, 77, 13, 69, 79, 54",classic,722,,,685
"Dark Forces ""Make it Out Alive""","Welcome to the dark side… With this deep and fiery mix of high intensity hip hop, you’ll be lucky to make it out alive!",11/6/2020,3,12:54,28,21,"932, 215, 808, 280",https://open.spotify.com/playlist/6SntUO0es9sF4vzzsR9LIP?si=wJtSEbM1R9eDEbK0-vBz-g,617,2026,"72, 11, 42, 56",classic,491,,,285
Quick Hits Power Jams,"Bring your power, athlete! These two super-charged alt pop tracks are sure to lift your heart rate and your mood.",11/8/2020,3,8:56,28,19,"158, 170",https://open.spotify.com/playlist/4XFEXsZb2xHZfGgzId0qms?si=3-HY-szFTSiUvH32fRUojA,618,1641,"28, 41",classic,393,,,217
Quick Hits: Breakout Role,Be the star in your own film in this quick hit homage to our favorite 80s movies. [Medium Intensity],11/8/2020,2,10:37,27,20,"795, 794",https://open.spotify.com/playlist/05IomCFEMvsPHAB6IPWgeJ?si=UGgxdvd4Ru6lRIQJFvzyxQ,619,1321,"45, 76",classic,320,,,185
Quick Hits: That Feeling,Get into the lovey-dovey mood with two electronic dance tracks centered all around love. [Low Intensity],11/8/2020,1,10:37,25,22,"459, 288",https://open.spotify.com/playlist/1F8gwGhOZUgrvQFnDsTbda?si=FoczmRxvQm-qniHHQ7vtnA,620,432,"73, 62",classic,145,,,195
"Glutacious ""Feelin' Myself""","Fire up those glutes — it’s about to get hot in here! Join Leanne and learn how to isolate your lower body as you squat, lunge and pop that booty to some fiery dance pop hits!",11/9/2020,2,24:15:00,25,"19, 21, 22","941, 916, 922, 923, 917, 417",https://open.spotify.com/playlist/3FNsQFP8AFBsiNRuLGt2iZ?si=2xZoy1X0SGu-8ZtEoPKyRA,621,546,"66, 60, 56, 67, 5, 65",classic,230,,,404
"Superfreak ""Hot Stuff""","Brush off those funky dance moves and follow the call of the disco ball! These high intensity disco tracks will test your strength, stamina and have you dancing all night long.",11/10/2020,3,24:21:00,27,23,"933, 921, 919, 920, 481",https://open.spotify.com/playlist/63LZIU7uLV6AebUowLGkmr?si=yMQPiaDAT3qaOaD5FVBGgw,622,4005,"52, 17, 32, 74, 45",classic,1024,,,742
"Break Up, Shape Up ""Fresh Start""",Shake those breakup blues away and start that next chapter with Leanne at your side. This uplifting mix of pop tracks is sure to help you conquer the day and start fresh!,11/11/2020,1,21:06,25,19,"857, 914, 915, 829, 780, 73",https://open.spotify.com/playlist/1rsrNs8unQsZr6MHRWgcQ5?si=WGORvfxrTdir8tBVPWzxVA,623,1442,"68, 81, 39, 46, 16, 71",classic,403,,,383
"Break Stuff ""Beast Mode""","Step up to your virtual punching bag and go beast mode! This hard mix of Hip Hop and EDM is the perfect outlet for any frustration. Channel that energy and break stuff, athlete!",11/12/2020,2,22:53,28,"21, 22","1244, 817, 479, 232, 341, 638",https://open.spotify.com/playlist/6EN6itRomtk71C0pH6J3E0?si=h57-A6mqTFuAYj6b2I1CgQ,624,2409,"77, 3, 43, 11, 54, 52",classic,722,,,802
Quick Hits Rapattack,Bring the power in this pint-sized Rap workout! Low Intensity gives more space to get into the flow and follow through with every swing.,11/15/2020,1,10:16,25,21,"817, 816",https://open.spotify.com/playlist/52FZH0hwb62laGX8AADYkd?si=tQNvuJUwSxaOQD8LpAZzdQ,625,625,"79, 60",classic,179,,,180
"Y2K Babyyy ""Bomb Dot Com""",Bust out that velour tracksuit! We’re heading back to the 2000s for a musical workout journey through the genres.,11/13/2020,3,18:47,25,"19, 20","940, 209, 879, 371, 192",https://open.spotify.com/playlist/0lBbbfWNfgpA7ZmyFqlbdy?si=mJ3VmprHT8-06BI-ut7r6Q,626,2887,"86, 63, 74, 78, 44",classic,744,,,557
"Monster ""Punk Rock is an Attitude""",Test your endurance and work your arms with this 70s Punk Rock tour-de-force!,11/27/2020,3,23:21,25,20,"699, 425, 908, 424, 423, 910, 909",https://open.spotify.com/playlist/6H0BQ65uNSH5jB8iSjxpFJ?si=vnj4iHxiRc67C2DKcWZjkA,628,3775,"9, 46, 48, 78, 55, 2, 37",classic,961,,,688
Quick Hits Just Dance,Get in the groove with a high powered dance party! These two bass house tracks will have your heart pumping in record time.,11/15/2020,3,7:30,27,22,"778, 637",https://open.spotify.com/playlist/1uoCIdPUiFSZHp8irdXYkS?si=XvXTlw8IQ7aPmvFzuPSfIg,632,1297,"76, 48",classic,307,,,160
Quick Hits The Drop,Prepare to wreak havoc and destroy those targets in this hot Dubstep twofer.,11/15/2020,2,10:16,28,22,"389, 341",https://open.spotify.com/playlist/6mKthxCWQ5IrgA3y5J8rIB?si=fWnZayDAR8-lxgl5eqmAXA,633,1054,"53, 58",classic,377,,,554
"Nouveau Disco ""Debut""",Refresh your dance playlist with this slick mix of Nu Disco and Funky House tunes. This one is designed to get you moving with Pop remixes inspired by the Disco and Funk era. Join Raneir in this sweet celebration of the groove!,11/16/2020,2,23:15,27,"22, 23","942, 931, 927, 930, 928",https://open.spotify.com/playlist/3O3k9eC5zCwIVZWJUVyH7i?si=BeMfjLFpSHCy17cmj17TkA,634,2459,"66, 45, 67, 62, 17",classic,714,,,740
"Pool House ""Riptide""","Soak up the sunshine with a bright and balanced Tropical House playlist. Whether you’re a beginner or looking for a lighter pace, this workout will have you in flow state in record time!",11/18/2020,1,23:21,25,22,"623, 249, 388, 598, 570, 797",https://open.spotify.com/playlist/33HPFrFPvp1W3RZ6ZsjZK5?si=Exzw36VkQ-q6j9i-Ydof8A,636,1584,"5, 59, 73, 39, 16, 67",classic,422,,,351
"The Drop “Me, Myself & I”","Leanne’s bringing the fire with a high intensity deep house workout! This lively mix of rapid patterns and dynamic dance moves will test your limits. Bring that A-game, athlete!",11/17/2020,3,20:51,25,22,"918, 898, 889, 886, 888, 887",https://open.spotify.com/playlist/3ANKUMxkEdtE0wIndxIYnb?si=CVOTKaa3RJGxvIDztjNQ0A,637,2870,"71, 77, 38, 47, 79, 60",classic,741,,,558
Quick Hits Guilty Pleasures,Flashback to the 00s with two infectious Pop hits!,11/29/2020,1,8:29,27,19,"721, 874",https://open.spotify.com/playlist/2ct7wspEZUvfBw808eRNou?si=ot4D5v5mSOKfA7HAiXuqLQ,638,514,"70, 80",classic,155,,,175
Quick Hits Mood Booster,Need a boost? Elevate your day with this short but sweet pair of Indie Pop mood improvers!,11/29/2020,2,8:00,27,19,"402, 185",https://open.spotify.com/playlist/2hhPpjhETlZqcPCjPOyu1Z?si=XU4d6FArTcKNrE-zscqNrg,639,892,"2, 18",classic,237,,,194
"Gratitude ""Debut""","Say thank you to your body as you get moving to this feel-good, soul-filled workout with Coach Doc.",11/26/2020,1,19:47,28,23,"951, 950, 330, 949, 948, 510",https://open.spotify.com/playlist/3bl9woalfMSy1BLIZFlZWs?si=ngv-la_5QP6QqjQzA8grcw,640,1321,"80, 86, 50, 64, 33, 87",classic,402,,,458
"Meditation ""Give Thanks""",Take a moment to recognize your blessings and give thanks in this 5-minute meditation with Coach Doc. Let the love and abundance flow through you as you focus on what and who brings you joy in your life.,11/26/2020,4,5:55,28,,,,641,,,meditation,,,,
"Just Dance ""Good Vibrations""",Get jiggy with guest coach Dwana Olsen! This homage to the hip house era will have you doing the running man in no time.,11/21/2020,2,17:23,32,"21, 22","907, 493, 490, 491",https://open.spotify.com/playlist/3rxUUdXjG6oJypknh2H4Of?si=HuuT1UhcTRiCzBhJTzWmfA,644,1560,"64, 75, 62, 13",classic,554,,,808
Super Monster: Turkey Burn ,"Our first 40-minute workout has arrived just in time to burn off that turkey! Join Coach Raneir on this epic dance party adventure of soul classics and bright pop tunes. Let’s get back to work, Supernatural fam!",11/30/2020,2,41:23:00,27,"19, 23","767, 191, 61, 756, 628, 109, 473, 160, 814, 364, 599",https://open.spotify.com/playlist/4lGseWw9rN4Pk9ywucC776?si=Lm1y4Hs7R6KAlJ9HfPVOsg,645,5369,"17, 27, 33, 66, 74, 81, 50, 87, 64, 65, 52",classic,1330,,,855
Hip Hop You Don't Stop “Expressing Myself”,"Keep it old school in this chilled out 90s Hip Hop workout with Coach Doc. Try your hand at our favorite throwbacks, perfect for flowing in low intensity.",11/20/2020,1,16:03,28,21,"652, 295, 853, 860",https://open.spotify.com/playlist/4guFKPZhp5L40R9Cqipo84?si=9vsAMiWzTI-EHIMj4XbJxQ,650,1171,"32, 77, 29, 65",classic,343,,,364
Pop Till You Drop “Leave Your Heart on the Dance Floor”,"Pop gets a high intensity makeover in this fired up workout with Coach Raneir on the mic! Let’s get after it, fit fam!",11/19/2020,3,15:47,27,19,"947, 945, 777, 944",https://open.spotify.com/playlist/5ZAirC8dLTS9iXxxKiawNq?si=OgxoInrhTySrgIVecrgi8g,651,2453,"86, 68, 87, 70",classic,583,,,308
Quick Hits Sustain,Prepare yourself! This pint sized EDM dance party will have your glutes fired up in less than 10 minutes.,11/22/2020,3,8:44,25,22,"257, 287",https://open.spotify.com/playlist/1xO4k2fLwTTLCzcQck4VIS?si=KyFXMAEyQt2xEJPLVPDJwg,652,1522,"5, 47",classic,382,,,257
Quick Hits: Take The Stage,Take to the stage with two electric live performances from iconic Rock and Roll Hall of Famers. [Medium Intensity],11/22/2020,2,10:53,27,20,"792, 789",https://open.spotify.com/playlist/2lYFI1kvusBqZdY52AY2Os?si=Qx6yh4YIRTSi_BtJnJbHAw,653,1420,"41, 44",classic,321,,,122
Quick Hits Freedom Rock,Take a trip down memory lane with these mellow gold hits bringing good vibes only.,11/22/2020,1,8:18,28,20,"310, 322",https://open.spotify.com/playlist/1k0iRlrvZB54uXYcCu7sk2?si=TttJSH-qRD-51b_-JUY-Ug,654,924,"6, 72",classic,220,,,116
"Pump, You Up 90s ""Feel The Noise""",Flash back to the 90s for this nostalgic alternative rock workout. You’ll want to sing along for this one!,11/23/2020,2,26:25:00,27,20,"770, 863, 864, 551, 569, 664",https://open.spotify.com/playlist/2jvwF1s3waJnkJ4nuvxG3t?si=ZXnZJC8ETsS5nU2gw2ReOw,656,2996,"81, 58, 37, 43, 79, 54",classic,771,,,573
"A Call To Arms ""Love Your Imperfections""","Suns out, guns out! Practice your perfect upper body form in this triangle-free workout set to pumped-up Pop tunes.",11/24/2020,1,17:11,28,"19, 22","740, 350, 828, 764, 544",https://open.spotify.com/playlist/0x870p9LakRbglTwjjRG41?si=wSRYmEp3TCeTv_StIfTVOg,657,1314,"71, 62, 13, 17, 66",classic,263,,,0
"Skinny Jeans and Ripped Seams ""The Climb""",Sweat it out with Leanne to this driving and upbeat Indie Rock playlist. Push through any limitations and just keep climbing. We’ll see you at the top!,11/25/2020,3,21:46,25,20,"762, 954, 955, 956, 953, 745",https://open.spotify.com/playlist/6fOY6nEo7M8wbr79y9hbE4?si=cSemcnQ6QkOao0yjrRORvg,660,3447,"35, 61, 70, 55, 58, 75",classic,825,,,451
"Quick Hits: Pump, You Up 90s",Bring the fire with this quick hit of 90s Alternative! [High Intensity],11/29/2020,3,7:58,25,20,"348, 537",https://open.spotify.com/playlist/2YHwU0J5dsGw6Rt8FPOJj6?si=Nw3644x_R8efItWsBy7VoA,661,1182,"78, 55",classic,291,,,183
"Sweat Symphony ""Can-Can""","Prepare yourself, maestro! This high intensity classical workout is the ultimate mind and body challenge. Conduct your own orchestra as you work up a sweat with Coach Doc!",12/1/2020,3,17:34,28,24,"964, 1474, 967, 1475, 966, 1605",https://open.spotify.com/playlist/5n1SK2C94X4DZMtnwH63Xb?si=1cAVHUfsQ6i8yuXYciWQKA,662,3057,"28, 41, 77, 43, 86, 80",classic,748,,,454
"Meditation ""Affirmation""",Your thought patterns create the world around you. Identify the energy you give your thoughts and focus on breathing positivity into your inner world.,11/29/2020,4,5:07,28,,,,663,,,meditation,,,,
Strut “Ways to Go”,"Get energized and strut your stuff with this electric mix of Indie classics! You've always got a ways to go in life, and this is the perfect workout to put a little pep in your step!",11/28/2020,2,22:39,33,20,"439, 913, 747, 355, 556, 811",https://open.spotify.com/playlist/1zi5fBrDvriykszMv8mBif?si=l4H8RABkSdSzgIQJXItfnw,666,2648,"29, 81, 13, 27, 47, 69",classic,686,,,522
"Retrofit ""Sooner or Later""","Ready to try your favorite 80s tracks for the first time in Low Intensity? Pack a scrunchie, because this flashy mix of alternative hits will time warp you right back to the golden decade.",12/2/2020,1,21:31,27,"19, 20","660, 726, 727, 729, 723",https://open.spotify.com/playlist/0oL3wGgJeklWWCM1Obekba?si=4GPIQ_M5SvGaINgfbGdwfQ,667,1360,"64, 46, 78, 72, 48",classic,386,,,379
"Hair Brained ""Ballads""",Feel the power of the hair in this all-ballad glam metal workout! Reminisce on your best (or worst) hairstyles with the one-and-only Coach Doc.,12/3/2020,2,23:03,28,20,"984, 656, 981, 323, 982",https://open.spotify.com/playlist/4vHeZfpJ8QSX4mD9Pn0BMr?si=HN_xXCxiQACAFBB6ttnXZg,669,2596,"79, 55, 54, 3, 38",classic,690,,,569
Molten Rock “Wonders of the World”,Stomp along to this molten playlist of Blues and Bluegrass inspired Rock tracks. This workout is perfect for letting loose and pushing your limits!,12/4/2020,3,18:20,25,20,"972, 751, 973, 535, 401",https://open.spotify.com/playlist/7iCuaRNEHgkjnwvejjTviM?si=TAHi4KwRT6-yIeckrLwZrA,670,2823,"9, 61, 17, 56, 84",classic,670,,,351
"Mood Booster ""Feel Good""","Focus on your inner light and move that body, athlete! Let these Pop and Dance tracks lift you up and get you feeling GOOD!",12/5/2020,1,21:22,28,"19, 22","400, 838, 799, 239, 928, 797",https://open.spotify.com/playlist/2jpj4WhHV14svFzW1gBIql?si=Tu-w9hUuSZyH4ubQ7KkzJw,671,1567,"68, 62, 73, 52, 67, 45",classic,463,,,499
Quick Hits Superfreak,This hot-and-fast Disco inferno will have you moving and sweating like it's going out of style!,12/6/2020,3,12:11,28,23,"919, 481",https://open.spotify.com/playlist/6revjpoDnyjhJpx0I2M8NO?si=18HDw-xzS4CV0Efxk26yZQ,672,2228,"46, 54",classic,597,,,506
Quick Hits Skinny Jeans and Ripped Seams,"Welcome home, athlete! This approachable Indie Folk workout is sure to leave you with a smile!",12/6/2020,1,10:37,25,20,"440, 441",https://open.spotify.com/playlist/4D13wALShmIYFjZEY6vY7o?si=mKFwztgxSYG9XYfIBJR-3Q,674,616,"2, 80",classic,218,,,316
Rapattack “You Can’t Be Stopped”,"This Rapattack is not for the faint of heart! Channel your inner warrior and attack those targets, athlete!",12/8/2020,3,22:54,28,21,"932, 990, 880, 991, 882, 259",https://open.spotify.com/playlist/2xpHcZPtEYF0Zo3HJeALAZ?si=c695nlkWSIaWqHj-Zw0gtg,675,4182,"58, 48, 56, 1, 25, 11",classic,984,,,492
"Stretching ""Extended Full-Body Warmup""",Prepare your body to move with full-body mobility work and dynamic stretching.,12/6/2020,5,9:35,25,,,,676,,,stretch,,,,
Girl Power “It’s All Right”,Join Coach Dwana as we celebrate women who rock! This electric playlist of rock hits will take you on a journey through the decades like you won’t forget!,12/9/2020,1,20:28,32,20,"988, 986, 863, 908, 989, 664",https://open.spotify.com/playlist/2UpcEl5ikloJs409K92qkh?si=_9GzLSinSvy1OolrIovKsw,677,1080,"8, 84, 37, 53, 35, 6",classic,320,,,346
"Monster ""Pop Monster""",Get ready for a super sweet marathon of Pop! Join Coach Raneir and have a blast in this upbeat 25-minute sweat fest.,12/10/2020,2,21:48,27,19,"768, 830, 720, 271, 352",https://open.spotify.com/playlist/2CwYEQIQiHgFXYVcWTCMoP?si=wiJEeU8WRV2byCLFMCClMg,684,3167,"87, 76, 60, 39, 66",classic,842,,,694
"Just Dance ""Turn Up""","The playlist is straight fire, fam! Turn up with Coach Raneir to an explosive mix of bouncy electronic remixes designed to get you grooving.",12/11/2020,3,20:25,27,22,"621, 978, 544, 996, 470",https://open.spotify.com/playlist/3BGJlBapv8Hsvp4IGMDFfl?si=0TEamhMHTH2HwXFJkTkAzA,685,2937,"5, 45, 17, 52, 54",classic,754,,,554
"Rock The Ages ""Debut""",Join Coach Dwana on a tour of broad spectrum of rock from the classics to now. Hear how rock artists inspired each other and developed their sound while you smash away at those targets!,12/12/2020,1,18:52,32,20,"855, 729, 752, 425, 973",https://open.spotify.com/playlist/5Mb7plR705mteXFnF0HFvZ?si=MgTuJwLKQXmFtNj8slpktA,686,1469,"6, 33, 44, 79, 28",classic,449,,,518
Quick Hits Pop Till You Drop,This workout is small but mighty! Grab a quick sweat as you bop along to these two pop hits.,12/13/2020,3,8:44,32,19,"269, 944",https://open.spotify.com/playlist/4sn1ezvj3o9mZOvNA7jwF7?si=zxgp25bISR6bcj0HEbd3LA,687,1467,"73, 2",classic,357,,,212
Quick Hits Nouveau Disco “Leg Lifts”,This upbeat twofer is a nu disco dance party heaven! Coach Leanne will teach you how do do side leg lifts during the workout for the ultimate burn!,12/13/2020,2,12:22,25,"22, 23","927, 930",https://open.spotify.com/playlist/6GvjuMSF7DF5UZhNO6NhB4?si=kLM8XmhzTi6Zcu4T6mZkXg,688,657,"59, 27",classic,235,,,346
Quick Hits: Hip Hop You Don't Stop,This short and sweet 90s Hip Hop workout is the perfect way to spend 10 chilled-out minutes. [Low Intensity],12/13/2020,1,9:56,28,21,"540, 860",https://open.spotify.com/playlist/607mHCBkvZLxH84CKlpEbx?si=-LFJ0lqhRcOlXTKFgup54Q,689,496,"32, 46",classic,193,,,312
"Rock Hard ""Feel Alive""","Try out these hard rock power anthems for the first time in Medium intensity. The beat still rages on, so bring your A game, athlete!",12/16/2020,2,25:06:00,25,20,"647, 524, 517, 858, 528, 522",https://open.spotify.com/playlist/6MH6W21qOuJFcrndQ08ims?si=WsiEE3cVTWyQQoVUmCnEsQ,690,2861,"53, 1, 42, 3, 26, 11",classic,872,,,1001
"Meditation ""Mindful Awareness""","Slow down, let go, and get centered in the present moment. Coach Doc leads you through a guided meditation focused on using mindfulness to relinquish the need for control.",12/13/2020,4,5:11,28,,,,693,,,meditation,,,,
Quick Hits Game Time,Get ready for the big game! These two hip hop tracks will get you in the zone to dominate your day.,12/6/2020,2,6:38,27,21,"99, 62",https://open.spotify.com/playlist/6SLzuJIIZrKZmUtDKQhTyY?si=UTfB2U8NQJGgj1m6SwdwkQ,695,840,"17, 56",classic,191,,,78
"Rap-ture ""Debut""","Walk on air with Coach Raneir in this smooth melodic Hip Hop workout. When the going gets tough, the tough get lifted. Fly high, friends!",12/14/2020,2,17:07,27,21,"1022, 1013, 1010, 1011, 1012",https://open.spotify.com/playlist/1SfzmcLFm5eA3NgCM4QFPz?si=0WDblkJrQa2aSEqlS0_Bhg,698,1950,"47, 66, 3, 60, 67",classic,484,,,312
"Pop Till You Drop ""Live in the Moment""",This punchy Pop workout is all about staying present and focused in the current moment. Have a blast with Coach Mark as you dance your way through!,12/15/2020,1,21:56,33,19,"731, 262, 206, 378, 841, 272",https://open.spotify.com/playlist/6xEB39JABl2tILQxCED7wY?si=cv6LTEYuT_GY73PaUrreYg,717,1384,"29, 86, 81, 61, 59, 80",classic,415,,,462
"The Drop ""Festival Season""","Get ready to work hard, and have a good time doing it! These Pop EDM tracks will have you dancing from dusk till dawn.",12/17/2020,3,18:50,27,22,"918, 345, 593, 419, 456",https://open.spotify.com/playlist/6cEJ0NSxAoDo4u6ULF1qOW?si=E72U6_HJQoGshyQFJQxLsw,703,2711,"77, 73, 71, 40, 65",classic,699,,,523
"Game Time ""G.O.A.T""","Rise to the occasion in this pumped up Hip Hop and EDM workout. The playlist gets faster and more intense as we go, so get ready to earn your stripes with Doc as your head coach.",12/18/2020,1,22:32,28,"21, 22","940, 158, 62, 170, 232, 341",https://open.spotify.com/playlist/5g8Qt0CK3xY4Xzb9uDiHXf?si=J4sghrOESjOPkm6dOsEQIg,704,1828,"74, 64, 28, 56, 11, 79",classic,539,,,579
"Shower Songs ""But I Get Up Again""","Warm up those vocal chords, this sing-along is exploding with joy! Belt it out to some of our favorite Pop Rock maps from 2020.",12/19/2020,3,20:00,27,20,"988, 573, 396, 316, 630",https://open.spotify.com/playlist/4OHEInO4eebvJsKpmoySh8?si=RLBprgntSDO6LMAaX2dO3A,680,3006,"27, 18, 70, 87, 55",classic,750,,,497
Quick Hits Rapattack,"Get ready to attack! Don’t be fooled by the small package, this high intensity Rap workout goes straight beast mode.",12/20/2020,3,8:28,28,21,"818, 816",https://open.spotify.com/playlist/2pTqrD7BDm8HZ8vg6BQcVI?si=Gux5ttJqSACI5MQwV9U_TQ,705,1758,"34, 58",classic,415,,,212
Quick Hits Guilty Pleasures,Dig deep for this perfect pair of 00s in-my-feelings Pop tunes. This quick workout is the perfect angsty sing-along.,12/20/2020,2,9:03,33,19,"871, 874",https://open.spotify.com/playlist/231RTfvecFE7Spif2cNX0p?si=lg7pwJapSrifJ7t9SIpkvA,706,1031,"35, 86",classic,261,,,184
Quick Hits The Drop,Practice your form in this perfectly balanced Electronic workout. This tiny dance party still packs a punch with grooving bass and a powerful drop!,12/20/2020,1,8:54,25,22,"404, 590",https://open.spotify.com/playlist/4YqCl5ReHLHUS30BMHRp2F?si=j2aolaNuQRmhSy2mCmYbcw,707,710,"60, 77",classic,182,,,134
"Stretching ""Extended Warmup""",Dynamic warm-ups like this one prepare you to perform your best and help prevent injury. Take these 5 minutes to warm up and get your body ready to move!,12/20/2020,5,5:28,25,,,,713,,,stretch,,,,
"Sweat Symphony ""Nutcracker""",Get into the holiday spirit with Tchaikovsky’s entire Nutcracker Suite! Move as gracefully as a prima ballerina and as powerfully as a master conductor in this unforgettable classical winter wonderland workout.,12/21/2020,2,26:29:00,25,24,"1019, 1604, 1360, 1017, 1018, 1361, 1362, 1363",https://open.spotify.com/playlist/0NyobdSO5kstQOznKE98sH?si=vKro2kGrQHuKjUC9eo27pg,708,2998,"13, 43, 90, 76, 89, 17, 50, 28",classic,863,,,878
Retrofit “Vinyl Revival”,Get ready to rock out to these retro rock hits! Polish off your old vinyl and get to groovin’. This energetic 80s mix is a total knockout.,12/22/2020,3,24:39:00,32,"19, 20","660, 999, 1000, 607, 1001, 875",https://open.spotify.com/playlist/5AbcVlHyYP3iovRjMa5d8M?si=H9yF40A1SRGH4Pjlc0RWGQ,701,3880,"89, 55, 82, 32, 45, 48",classic,973,,,656
"Just Dance ""Celebrate""","If you want to boogie-oogie-oogie till you just can’t boogie no more, look no further! These are some of our favorite dancey R&B/Soul maps from 2020 to shake your tail feather to.",12/23/2020,1,20:45,28,23,"649, 507, 473, 445, 447, 347",https://open.spotify.com/playlist/6Yw3brnk07OiGxpHksaNow?si=Bwe9kvLFQaSS5jOCkWC6dQ,682,1641,"33, 13, 46, 65, 50, 27",classic,449,,,403
"Mood Booster ""Chillax""","Get ready for an all-out joy bomb! These are some of our favorite Pop maps from 2020 that’ll have you swaying, singing and grinning from ear to ear.",12/24/2020,2,24:41:00,25,19,"776, 150, 388, 780, 268, 354",https://open.spotify.com/playlist/7JSPdai0PrTlvZaBJgezSl?si=YyzmmIFGRFSFBePBenFQ_A,681,2744,"62, 69, 16, 5, 45, 60",classic,711,,,541
"Meditation ""Receive""",Join Coach Doc for a 5-minute meditation designed to leave you feeling relaxed and open-hearted. Release tension in your body and awaken your ability to receive the good all around you.,12/25/2020,4,4:33,28,,,,738,,,meditation,,,,
"Pros Only ""Light It Up""","It’s time to go ludicrous mode, and we’re turning it up to eleven! This mix of Rock and EDM is higher-than-high intensity with complex patterns that don’t let up. Are you ready to claim your spot as a Supernatural Pro?",12/26/2020,3,18:53,28,"20, 22","626, 934, 935, 615, 937",https://open.spotify.com/playlist/1LhNsuiGubQdnF84NvfJWF?si=bEZwPtruSIaRrDQDreUxrg,635,3289,"72, 11, 3, 29, 54",classic,899,,,803
Quick Hits Pop Till You Punk,Thrash around and feel feelings to this tiny angsty package of Pop Punk classics.,12/27/2020,3,7:42,32,20,"377, 414",https://open.spotify.com/playlist/76EaHrrQeT1vVD75IIyg1T?si=IQBo-boDSoKkNIKQjaZYyA,719,1354,"37, 35",classic,323,,,175
Quick Hits Pool House,Soak in the sunny summertime vibes! This Tropical House twofer is the ultimate chill escape for any day.,12/27/2020,2,8:47,33,22,"380, 375",https://open.spotify.com/playlist/3aZZyybLd3XUye9z65YU0a?si=MWslQQPjTxK_i08Jcu-13g,720,1193,"16, 5",classic,309,,,235
Quick Hits Sweaty Flannel,"Bust out your 90s flannel, these two Alternative Rock hits will transport you back to the grunge era.",12/27/2020,1,8:19,27,20,"673, 568",https://open.spotify.com/playlist/3sqd9aIwpsT4Km3w4ZKro3?si=CO-XTc0MTiym02iUzeSyPw,721,391,"78, 82",classic,136,,,194
"Moment @ Milford Sound, New Zealand","Sometimes you need to take a moment. Travel to Milford Sound, New Zealand with nothing but the sounds of nature and ambient music to keep you company. Take a breath, meditate, or simply hang out and enjoy the beautiful rippling water.",12/27/2020,4,10:08,31,,775,,742,0,92,meditation,,,,1
"Breakout Role ""Cult Classics""","Lights, camera, action! Play the part as you sweat it out to iconic songs from 90s cult classic films.",12/28/2020,2,19:49,25,"20, 23","971, 959, 970, 543, 962, 774",https://open.spotify.com/playlist/5Vd4JNqhCRBQgan9Rlmk2U?si=lMHt4d1DQKu0RQOtjZP80A,655,2095,"69, 73, 67, 28, 45, 6",classic,569,,,501
"Pop Till You Drop ""Can't Get Enough""","You won’t be able to get enough of this Pop workout bursting with energetic radio hits. This one is all about fun, so get those endorphins pumping with Coach Dwana!",12/29/2020,3,17:34,32,"19, 21","1022, 1036, 1031, 1032, 73",https://open.spotify.com/playlist/0h3AGgWsIeetEYFL5IFMF0?si=rpEml14UTJCMf9KuKFuOTQ,722,2800,"64, 18, 87, 75, 47",classic,638,,,259
"Punk You ""Thrasher""","Stick it to the man in this classic Punk workout leveled down for a perfectly balanced quick workout. Feel the energy in these fast-paced songs, while still having the space and freedom in Low Intensity.",12/30/2020,1,12:47,32,20,"500, 910, 423, 909",https://open.spotify.com/playlist/5IE72zmZeQhuI2pfZKyRIk?si=w93fS8qnRUmyJ-ah34s9SA,723,1204,"9, 41, 61, 53",classic,392,,,505
"Just Dance ""New Year's Eve""",We're lighting up the dance floor with an electric playlist of dancey house hits to have you grooving until the ball drops! Ring in the New Year with a bouncy club mix that'll put 2020 permanently in the rearview.,12/31/2020,2,17:58,27,22,"941, 1035, 257, 778, 887",https://open.spotify.com/playlist/4rc65OwlYW5KnztsQG9Xvz?si=lF229Y1ASjuNkVJtl5bb4A,724,2394,"2, 73, 67, 42, 26",classic,610,,,437
"This Year: Be You ""Debut""","Forget ""New Year: New You."" Your best self is already within. There's an athlete inside of everyone, and we're here to let that athlete out. Start off the new year moving to uplifting Indie Pop anthems to get motivated and inspired.",1/1/2021,1,21:35,25,19,"1039, 1037, 579, 1038, 1040",https://open.spotify.com/playlist/0s8aSSJS2DfiWvCytydU87?si=N4Pjxw6DSZmU00_rhL8fyQ,726,1615,"68, 70, 81, 90, 38",classic,495,,,574
